,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
707,house,independent,sector 10,0.75,20833.0,360.0,Plot area 40(33.45 sq.m.),7,4,3+,4.0,,Moderately Old,,360.0,,0,0,0,0,0,0,7,51.43
2613,house,ashok vihar phase iii extension,sector 5,0.4,8889.0,450.0,Plot area 50(41.81 sq.m.),7,4,3+,4.0,,New Property,,450.0,,0,0,0,1,0,0,7,64.29
699,house,ansal,sector 8,1.85,34259.0,540.0,Plot area 60(5.57 sq.m.),8,8,3+,5.0,North-West,Relatively New,,60.0,,0,0,0,0,0,0,53,67.5
3734,house,independent,sector 105,0.6,11111.0,540.0,Plot area 60(50.17 sq.m.),8,4,3,3.0,West,New Property,,540.0,,0,0,0,0,0,0,17,67.5
2499,house,independent,sector 9,0.5,13889.0,360.0,Plot area 40(33.45 sq.m.),5,3,3,3.0,,Old Property,,360.0,,0,0,0,0,0,0,0,72.0
919,house,independent,sector 9,0.32,22069.0,145.0,Built Up area: 145 (13.47 sq.m.),2,2,No,3.0,,undefined,,145.0,,0,0,0,0,0,0,0,72.5
543,house,independent,sector 8,0.49,11239.0,436.0,Plot area 360(33.45 sq.m.),6,3,2,3.0,East,Moderately Old,,360.0,,0,0,0,0,0,0,8,72.67
2011,house,sector 38 rwa,sector 38,1.4,23932.0,585.0,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8,8,3,4.0,East,Moderately Old,,62.0,60.0,0,0,0,0,1,2,40,73.12
416,house,independent,sector 10,0.3,6667.0,450.0,Plot area 50(4.65 sq.m.),6,3,3,3.0,South,Moderately Old,,50.0,,0,0,0,0,0,0,0,75.0
2038,house,independent,sector 37,0.45,10090.0,446.0,Plot area 446(41.43 sq.m.),5,3,2,3.0,,Old Property,,446.0,,0,0,0,0,0,0,0,89.2
2878,house,ss omnia,sector 86,0.42,9333.0,450.0,Plot area 50(4.65 sq.m.),5,3,2,3.0,,Relatively New,,50.0,,0,0,0,0,0,0,0,90.0
1274,house,rk excelo,sector 12,0.6,13333.0,450.0,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Moderately Old,,30.0,15.0,0,0,0,0,1,0,0,90.0
2527,house,not applicable,sector 3,0.51,14167.0,360.0,Plot area 40(33.45 sq.m.),4,4,3,4.0,,New Property,,360.0,,0,0,0,0,0,0,0,90.0
1727,house,independent,sector 11,0.45,10000.0,450.0,Built Up area: 50 (4.65 sq.m.),5,3,No,1.0,,undefined,,50.0,,0,0,0,0,0,0,0,90.0
761,house,independent,sector 3,0.42,9333.0,450.0,Built Up area: 450 (41.81 sq.m.),5,3,2,2.0,,undefined,,450.0,,0,0,0,0,0,0,0,90.0
1849,house,independent,sector 5,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),5,3,3,3.0,,Moderately Old,,450.0,,0,0,0,0,0,0,0,90.0
3054,house,rajendra park gurgaon,sector 105,0.37,10278.0,360.0,Plot area 360(33.45 sq.m.),4,3,2,3.0,East,Relatively New,,360.0,,0,0,0,0,0,0,0,90.0
1188,house,jacobpura,sector 12,0.53,14601.0,363.0,Plot area 360(33.45 sq.m.),4,4,2,3.0,East,Relatively New,,360.0,,0,0,0,0,0,0,0,90.75
2529,house,independent,sector 7,0.45,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,4.0,North,Moderately Old,,,1500.0,0,0,0,0,0,2,7,92.5
756,house,rattan garden,sector 6,0.83,17585.0,472.0,Carpet area: 472 (43.85 sq.m.),5,3,2,3.0,East,undefined,,,472.0,0,0,0,0,0,0,0,94.4
1006,house,independent,sector 6,0.89,18658.0,477.0,Plot area 477(44.31 sq.m.),5,3,2,2.0,East,Old Property,,477.0,,0,0,0,0,0,0,8,95.4
2580,house,independent,sector 3,0.5,10482.0,477.0,Built Up area: 53 (44.31 sq.m.),5,3,No,1.0,,undefined,,53.0,,0,0,0,0,0,0,0,95.4
1476,house,independent,sector 21,1.5,16667.0,900.0,Carpet area: 900 (83.61 sq.m.),9,3,3+,3.0,,undefined,,,900.0,0,0,0,0,0,0,0,100.0
3796,house,rajendra park sec 105,sector 10,0.8,8889.0,900.0,Plot area 900(83.61 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),9,5,3+,3.0,,Old Property,,990.0,975.0,0,0,0,0,0,0,0,100.0
530,house,ganpati heights apartment,sector 8,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),10,6,2,3.0,South-East,Old Property,,115.0,,0,0,0,0,1,0,7,103.5
210,house,independent,sector 12,0.46,7302.0,630.0,Plot area 70(58.53 sq.m.),6,3,3,3.0,,Moderately Old,,630.0,,0,0,0,0,0,0,0,105.0
490,house,independent,sector 48,0.95,8920.0,1065.0,Plot area 1065(98.94 sq.m.),10,10,3+,3.0,,New Property,,1065.0,,0,0,0,0,0,0,0,106.5
1810,house,independent,sector 4,0.5,9259.0,540.0,Plot area 540(50.17 sq.m.),5,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,0,0,108.0
1167,house,jacobpura gurugram,sector 12,1.3,23551.0,552.0,Plot area 56.6(47.32 sq.m.),5,2,1,3.0,South-West,Old Property,,56.6,,0,0,0,0,1,0,0,110.4
2886,house,housing board colony,sector 10,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),8,8,3+,4.0,South-East,Moderately Old,,900.0,,0,0,0,0,1,2,38,112.5
1597,house,independent,sector 3,0.27,12000.0,225.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,Moderately Old,,225.0,,0,0,0,0,0,0,12,112.5
2614,house,independent,sector 9,0.32,5664.0,565.0,Built Up area: 565 (52.49 sq.m.),5,1,No,1.0,,undefined,,565.0,,0,0,0,0,0,0,0,113.0
1287,house,independent,sector 6,0.75,10519.0,713.0,Plot area 713(66.24 sq.m.),6,4,1,3.0,,Moderately Old,,713.0,,0,0,0,0,0,0,62,118.83
1215,house,rattan vihar rajendra park,sector 8,0.85,14167.0,600.0,Plot area 600(55.74 sq.m.),5,5,3+,4.0,,New Property,,600.0,,0,0,0,0,0,0,0,120.0
2905,house,independent,sector 8,0.98,9074.0,1080.0,Carpet area: 120 (100.34 sq.m.),9,4,3,1.0,South,undefined,,,120.0,0,0,0,0,0,0,0,120.0
1612,house,surendra homes dayanand colony,sector 6,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4,4,2,1.0,,undefined,,480.0,,0,0,0,0,0,0,0,120.0
3479,house,"bhim nagar, sector 6",sector 9,0.85,14096.0,603.0,Plot area 67(6.22 sq.m.),5,2,2,1.0,,Old Property,,67.0,,0,0,0,1,0,0,29,120.6
2219,house,independent,sector 4,0.6,6173.0,972.0,Plot area 108(90.3 sq.m.),8,3,2,3.0,,Old Property,,972.0,,0,0,0,0,0,0,0,121.5
3888,house,independent,sector 55,5.0,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,0,0,0,0,1,2,44,125.0
3742,house,independent,sector 105,0.55,10913.0,504.0,Built Up area: 56 (5.2 sq.m.),4,4,No,2.0,,undefined,,56.0,,0,0,0,0,0,0,0,126.0
1165,house,not applicable,sector 3,0.75,11719.0,640.0,Plot area 640(59.46 sq.m.),5,4,3,2.0,,Moderately Old,,640.0,,0,0,0,0,0,0,0,128.0
2145,house,independent,sector 105,1.2,13333.0,900.0,Plot area 900(83.61 sq.m.),7,4,1,2.0,South-West,Moderately Old,,900.0,,0,0,0,0,1,0,14,128.57
2359,house,independent,sector 5,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,4.0,,Moderately Old,,900.0,,0,0,0,0,0,0,7,128.57
3758,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,3+,3.0,North-East,Relatively New,,900.0,,1,0,1,1,0,0,27,128.57
2171,house,independent,sector 6,1.5,11538.0,1300.0,Plot area 1300(120.77 sq.m.),10,7,3,4.0,East,Moderately Old,,1300.0,,0,0,0,0,0,0,0,130.0
65,house,independent,sector 48,1.2,22305.0,538.0,Plot area 50,4,4,3+,4.0,West,Old Property,,535.0,,0,0,0,0,0,0,8,134.5
124,house,independent,sector 8,1.0,8230.0,1215.0,Plot area 135(112.88 sq.m.),9,7,3+,3.0,North,Moderately Old,,1215.0,,0,0,0,1,0,0,0,135.0
2589,house,independent,sector 10,0.65,16049.0,405.0,Plot area 45(4.18 sq.m.),3,3,2,3.0,East,Old Property,,45.0,,0,0,0,0,0,0,15,135.0
332,house,my home,sector 110,0.34,12593.0,270.0,Plot area 270(25.08 sq.m.),2,2,2,3.0,West,Moderately Old,,270.0,,0,0,0,0,0,0,22,135.0
1427,house,independent,sector 10,0.45,8333.0,540.0,Plot area 540(50.17 sq.m.),4,2,1,2.0,,Relatively New,,540.0,,0,0,0,0,0,0,0,135.0
1264,house,independent,sector 24,4.5,33333.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),10,8,3+,4.0,East,Relatively New,,160.0,150.0,0,1,1,0,0,2,56,135.0
3466,house,independent,sector 3,0.8,11852.0,675.0,Plot area 75(62.71 sq.m.),5,3,1,2.0,,Moderately Old,,675.0,,0,0,0,0,0,0,0,135.0
2017,house,prem kunj,sector 48,0.5,7407.0,675.0,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),5,4,3,3.0,South-West,Relatively New,,725.0,675.0,0,0,0,1,0,0,22,135.0
